text,label
Is there a payment plan available for overdue balances?,Dues & Payment
air conditioning in common area 911 is not cooling properly.,Maintenance Request
I believe I was double charged for unit 674 this month.,Dues & Payment
My neighbor at unit 217 is parking in a handicap spot without a permit.,Rule Violation Report
Who do I contact for after-hours emergencies?,General Inquiry
fence along property line 396 has fallen over.,Maintenance Request
i believe i was double charged for unit 763 this month.,Dues & Payment
I feel the recent rule change was not communicated properly.,Complaint / Dispute
I haven't received my invoice for this quarter yet.,Dues & Payment
The elevator in block 611 is making a loud noise.,Maintenance Request
Air conditioning in common area 636 is not cooling properly.,Maintenance Request
COMMERCIAL VEHICLE PARKED IN RESIDENTIAL SPOT NEAR UNIT 650.,Rule Violation Report
i want to schedule the pool area for a private event.,Amenity Booking
The street light outside unit 432 has been out for a week.,Maintenance Request
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
PLEASE CONFIRM MY ACCOUNT BALANCE FOR UNIT 775.,Dues & Payment
please reserve the gym for a group fitness session on friday.,Amenity Booking
i was unfairly charged a late fee for my payment.,Complaint / Dispute
A resident at building 899 is storing items in the common hallway.,Rule Violation Report
Can I book the BBQ area near pool 990 for this weekend?,Amenity Booking
Is the tennis court near area 520 available this Sunday morning?,Amenity Booking
IS THERE A PAYMENT PLAN AVAILABLE FOR OVERDUE BALANCES?,Dues & Payment
the street light outside unit 775 has been out for a week.,Maintenance Request
Can I book the BBQ area near pool 985 for this weekend?,Amenity Booking
I need to update my payment method on file.,Dues & Payment
HOW DO I SUBMIT A SUGGESTION TO THE HOA BOARD?,General Inquiry
I am disputing the fine I received for unit 638 last month.,Complaint / Dispute
Broken gate at entrance 159 needs urgent repair.,Maintenance Request
Resident at unit 785 has installed an unauthorized satellite dish.,Rule Violation Report
How do I submit a suggestion to the HOA board?,General Inquiry
Resident at unit 593 has installed an unauthorized satellite dish.,Rule Violation Report
Who do I contact for after-hours emergencies?,General Inquiry
Can I book the BBQ area near pool 216 for this weekend?,Amenity Booking
Unapproved pet over weight limit seen at unit 187.,Rule Violation Report
What are the office hours for the HOA management team?,General Inquiry
Air conditioning in common area 274 is not cooling properly.,Maintenance Request
Loud music from unit 919 after quiet hours.,Rule Violation Report
I believe I was double charged for unit 977 this month.,Dues & Payment
Resident at unit 323 has installed an unauthorized satellite dish.,Rule Violation Report
I want to schedule the pool area for a private event.,Amenity Booking
i need to update my payment method on file.,Dues & Payment
Fence along property line 261 has fallen over.,Maintenance Request
when is the deadline for annual assessment payment?,Dues & Payment
The elevator in block 610 is making a loud noise.,Maintenance Request
The street light outside unit 308 has been out for a week.,Maintenance Request
I HAVEN'T RECEIVED MY INVOICE FOR THIS QUARTER YET.,Dues & Payment
Can I book the rooftop lounge for a small gathering?,Amenity Booking
Fence along property line 198 has fallen over.,Maintenance Request
I NEED TO RESERVE THE COMMUNITY ROOM FOR A MEETING NEXT TUESDAY.,Amenity Booking
There is a water leak in the common hallway near building 973.,Maintenance Request
The parking lot lights in section 895 are not working.,Maintenance Request
I want to schedule the pool area for a private event.,Amenity Booking
Is there a payment plan available for overdue balances?,Dues & Payment
When is the deadline for annual assessment payment?,Dues & Payment
The street light outside unit 415 has been out for a week.,Maintenance Request
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
WHO DO I CONTACT FOR AFTER-HOURS EMERGENCIES?,General Inquiry
Where can I find information about the upcoming board meeting?,General Inquiry
Pool pump at amenity area 617 stopped working.,Maintenance Request
Can I get a receipt for my last payment of unit 909?,Dues & Payment
i'd like to reserve the clubhouse for a birthday party on saturday.,Amenity Booking
Loud music from unit 109 after quiet hours.,Rule Violation Report
There is a water leak in the common hallway near building 260.,Maintenance Request
Commercial vehicle parked in residential spot near unit 917.,Rule Violation Report
Can I book the BBQ area near pool 961 for this weekend?,Amenity Booking
The elevator in block 886 is making a loud noise.,Maintenance Request
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
When is the deadline for annual assessment payment?,Dues & Payment
i need to update my payment method on file.,Dues & Payment
Can I book the BBQ area near pool 910 for this weekend?,Amenity Booking
there is unauthorized construction happening at unit 254.,Rule Violation Report
How do I obtain a copy of the community rules and regulations?,General Inquiry
there is unauthorized construction happening at unit 175.,Rule Violation Report
I am disputing the fine I received for unit 812 last month.,Complaint / Dispute
Air conditioning in common area 243 is not cooling properly.,Maintenance Request
Where can I find information about the upcoming board meeting?,General Inquiry
Is there a payment plan available for overdue balances?,Dues & Payment
Pool pump at amenity area 309 stopped working.,Maintenance Request
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
what are the office hours for the hoa management team?,General Inquiry
Fence along property line 773 has fallen over.,Maintenance Request
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
Can I book the BBQ area near pool 694 for this weekend?,Amenity Booking
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
Unapproved pet over weight limit seen at unit 843.,Rule Violation Report
broken gate at entrance 985 needs urgent repair.,Maintenance Request
my neighbor's tree is dropping leaves into my patio at unit 944.,Complaint / Dispute
my neighbor at unit 945 is parking in a handicap spot without a permit.,Rule Violation Report
When is the deadline for annual assessment payment?,Dues & Payment
Can I book the BBQ area near pool 383 for this weekend?,Amenity Booking
My neighbor at unit 613 is parking in a handicap spot without a permit.,Rule Violation Report
The elevator in block 550 is making a loud noise.,Maintenance Request
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
when is the deadline for annual assessment payment?,Dues & Payment
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
my neighbor at unit 593 is parking in a handicap spot without a permit.,Rule Violation Report
I WOULD LIKE TO SET UP AUTOMATIC PAYMENT FOR MY MONTHLY DUES.,Dues & Payment
I haven't received my invoice for this quarter yet.,Dues & Payment
is there a community newsletter i can subscribe to?,General Inquiry
broken gate at entrance 423 needs urgent repair.,Maintenance Request
air conditioning in common area 353 is not cooling properly.,Maintenance Request
Air conditioning in common area 193 is not cooling properly.,Maintenance Request
The elevator in block 435 is making a loud noise.,Maintenance Request
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
I was unfairly charged a late fee for my payment.,Complaint / Dispute
i believe i was double charged for unit 557 this month.,Dues & Payment
I would like to set up automatic payment for my monthly dues.,Dues & Payment
THE ELEVATOR IN BLOCK 905 IS MAKING A LOUD NOISE.,Maintenance Request
I haven't received my invoice for this quarter yet.,Dues & Payment
how do i submit a suggestion to the hoa board?,General Inquiry
Unapproved pet over weight limit seen at unit 954.,Rule Violation Report
Is the tennis court near area 719 available this Sunday morning?,Amenity Booking
Can I get a receipt for my last payment of unit 342?,Dues & Payment
Can I book the BBQ area near pool 351 for this weekend?,Amenity Booking
Loud music from unit 494 after quiet hours.,Rule Violation Report
The parking lot lights in section 619 are not working.,Maintenance Request
Unapproved pet over weight limit seen at unit 291.,Rule Violation Report
Unapproved pet over weight limit seen at unit 140.,Rule Violation Report
The parking lot lights in section 689 are not working.,Maintenance Request
There is a water leak in the common hallway near building 368.,Maintenance Request
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Can I book the BBQ area near pool 112 for this weekend?,Amenity Booking
who do i contact for after-hours emergencies?,General Inquiry
Air conditioning in common area 797 is not cooling properly.,Maintenance Request
The street light outside unit 512 has been out for a week.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
I want to schedule the pool area for a private event.,Amenity Booking
i would like to set up automatic payment for my monthly dues.,Dues & Payment
Unapproved pet over weight limit seen at unit 507.,Rule Violation Report
Is the tennis court near area 123 available this Sunday morning?,Amenity Booking
Is there a payment plan available for overdue balances?,Dues & Payment
Commercial vehicle parked in residential spot near unit 100.,Rule Violation Report
Is there a payment plan available for overdue balances?,Dues & Payment
please reserve the gym for a group fitness session on friday.,Amenity Booking
I WANT TO SCHEDULE THE POOL AREA FOR A PRIVATE EVENT.,Amenity Booking
My neighbor at unit 307 is parking in a handicap spot without a permit.,Rule Violation Report
I haven't received my invoice for this quarter yet.,Dues & Payment
UNAPPROVED PET OVER WEIGHT LIMIT SEEN AT UNIT 654.,Rule Violation Report
Can I book the BBQ area near pool 802 for this weekend?,Amenity Booking
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
RESIDENT AT UNIT 564 HAS INSTALLED AN UNAUTHORIZED SATELLITE DISH.,Rule Violation Report
i would like to set up automatic payment for my monthly dues.,Dues & Payment
Can I get a receipt for my last payment of unit 407?,Dues & Payment
POOL PUMP AT AMENITY AREA 396 STOPPED WORKING.,Maintenance Request
I need to update my payment method on file.,Dues & Payment
HOW DO I BOOK A GUEST PARKING SPOT FOR THE WEEKEND?,Amenity Booking
The board meeting minutes do not reflect what was discussed.,Complaint / Dispute
There is a water leak in the common hallway near building 151.,Maintenance Request
Pool pump at amenity area 265 stopped working.,Maintenance Request
The street light outside unit 847 has been out for a week.,Maintenance Request
broken gate at entrance 196 needs urgent repair.,Maintenance Request
I believe I was double charged for unit 948 this month.,Dues & Payment
my neighbor at unit 507 is parking in a handicap spot without a permit.,Rule Violation Report
I believe I was double charged for unit 420 this month.,Dues & Payment
Air conditioning in common area 479 is not cooling properly.,Maintenance Request
I need to update my payment method on file.,Dues & Payment
The parking lot lights in section 999 are not working.,Maintenance Request
Loud music from unit 584 after quiet hours.,Rule Violation Report
Who do I contact for after-hours emergencies?,General Inquiry
I NEED TO RESERVE THE COMMUNITY ROOM FOR A MEETING NEXT TUESDAY.,Amenity Booking
Air conditioning in common area 711 is not cooling properly.,Maintenance Request
Can I book the rooftop lounge for a small gathering?,Amenity Booking
A resident at building 124 is storing items in the common hallway.,Rule Violation Report
Is the tennis court near area 472 available this Sunday morning?,Amenity Booking
i believe i was double charged for unit 225 this month.,Dues & Payment
Unapproved pet over weight limit seen at unit 598.,Rule Violation Report
The elevator in block 175 is making a loud noise.,Maintenance Request
There is a water leak in the common hallway near building 420.,Maintenance Request
Is there a community newsletter I can subscribe to?,General Inquiry
I need to update my payment method on file.,Dues & Payment
CAN I GET A RECEIPT FOR MY LAST PAYMENT OF UNIT 353?,Dues & Payment
The street light outside unit 783 has been out for a week.,Maintenance Request
air conditioning in common area 746 is not cooling properly.,Maintenance Request
What recycling guidelines does our community follow?,General Inquiry
Is there a payment plan available for overdue balances?,Dues & Payment
I haven't received my invoice for this quarter yet.,Dues & Payment
Loud music from unit 428 after quiet hours.,Rule Violation Report
Smoking in non-designated area near building 688.,Rule Violation Report
I want to schedule the pool area for a private event.,Amenity Booking
Fence along property line 447 has fallen over.,Maintenance Request
CAN I GET A RECEIPT FOR MY LAST PAYMENT OF UNIT 753?,Dues & Payment
I'D LIKE TO RESERVE THE CLUBHOUSE FOR A BIRTHDAY PARTY ON SATURDAY.,Amenity Booking
unapproved pet over weight limit seen at unit 732.,Rule Violation Report
Air conditioning in common area 457 is not cooling properly.,Maintenance Request
how do i book a guest parking spot for the weekend?,Amenity Booking
i want to appeal the architectural review board decision.,Complaint / Dispute
I NEED TO UPDATE MY PAYMENT METHOD ON FILE.,Dues & Payment
there is unauthorized construction happening at unit 647.,Rule Violation Report
Broken gate at entrance 540 needs urgent repair.,Maintenance Request
commercial vehicle parked in residential spot near unit 300.,Rule Violation Report
Is the tennis court near area 112 available this Sunday morning?,Amenity Booking
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Smoking in non-designated area near building 283.,Rule Violation Report
Broken gate at entrance 554 needs urgent repair.,Maintenance Request
Where can I find information about the upcoming board meeting?,General Inquiry
Fence along property line 462 has fallen over.,Maintenance Request
My neighbor's tree is dropping leaves into my patio at unit 352.,Complaint / Dispute
broken gate at entrance 513 needs urgent repair.,Maintenance Request
Fence along property line 813 has fallen over.,Maintenance Request
my neighbor at unit 686 is parking in a handicap spot without a permit.,Rule Violation Report
there is unauthorized construction happening at unit 903.,Rule Violation Report
What are the office hours for the HOA management team?,General Inquiry
smoking in non-designated area near building 285.,Rule Violation Report
Pool pump at amenity area 816 stopped working.,Maintenance Request
please confirm my account balance for unit 151.,Dues & Payment
air conditioning in common area 824 is not cooling properly.,Maintenance Request
I NEED TO RESERVE THE COMMUNITY ROOM FOR A MEETING NEXT TUESDAY.,Amenity Booking
The parking lot lights in section 738 are not working.,Maintenance Request
Air conditioning in common area 576 is not cooling properly.,Maintenance Request
air conditioning in common area 164 is not cooling properly.,Maintenance Request
I believe I was double charged for unit 708 this month.,Dues & Payment
There is unauthorized construction happening at unit 258.,Rule Violation Report
Broken gate at entrance 165 needs urgent repair.,Maintenance Request
There is a water leak in the common hallway near building 890.,Maintenance Request
I haven't received my invoice for this quarter yet.,Dues & Payment
Fence along property line 251 has fallen over.,Maintenance Request
THE PARKING LOT LIGHTS IN SECTION 783 ARE NOT WORKING.,Maintenance Request
pool pump at amenity area 966 stopped working.,Maintenance Request
I was unfairly charged a late fee for my payment.,Complaint / Dispute
There is a water leak in the common hallway near building 148.,Maintenance Request
FENCE ALONG PROPERTY LINE 291 HAS FALLEN OVER.,Maintenance Request
My neighbor's tree is dropping leaves into my patio at unit 503.,Complaint / Dispute
What are the office hours for the HOA management team?,General Inquiry
What are the office hours for the HOA management team?,General Inquiry
When is the deadline for annual assessment payment?,Dues & Payment
I disagree with the decision made about unit 306 modification.,Complaint / Dispute
My neighbor's tree is dropping leaves into my patio at unit 960.,Complaint / Dispute
Smoking in non-designated area near building 415.,Rule Violation Report
Is the tennis court near area 576 available this Sunday morning?,Amenity Booking
I haven't received my invoice for this quarter yet.,Dues & Payment
my neighbor's tree is dropping leaves into my patio at unit 213.,Complaint / Dispute
How do I submit a suggestion to the HOA board?,General Inquiry
I haven't received my invoice for this quarter yet.,Dues & Payment
MY NEIGHBOR'S TREE IS DROPPING LEAVES INTO MY PATIO AT UNIT 397.,Complaint / Dispute
when is the deadline for annual assessment payment?,Dues & Payment
Is the tennis court near area 305 available this Sunday morning?,Amenity Booking
the elevator in block 341 is making a loud noise.,Maintenance Request
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
The parking lot lights in section 547 are not working.,Maintenance Request
Pool pump at amenity area 816 stopped working.,Maintenance Request
The parking lot lights in section 584 are not working.,Maintenance Request
I want to appeal the architectural review board decision.,Complaint / Dispute
The elevator in block 631 is making a loud noise.,Maintenance Request
The elevator in block 993 is making a loud noise.,Maintenance Request
The parking lot lights in section 460 are not working.,Maintenance Request
Smoking in non-designated area near building 991.,Rule Violation Report
The elevator in block 164 is making a loud noise.,Maintenance Request
The parking lot lights in section 546 are not working.,Maintenance Request
Commercial vehicle parked in residential spot near unit 740.,Rule Violation Report
Pool pump at amenity area 894 stopped working.,Maintenance Request
Who do I contact for after-hours emergencies?,General Inquiry
Air conditioning in common area 645 is not cooling properly.,Maintenance Request
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
There is a water leak in the common hallway near building 526.,Maintenance Request
can i book the rooftop lounge for a small gathering?,Amenity Booking
there is a water leak in the common hallway near building 567.,Maintenance Request
When is the deadline for annual assessment payment?,Dues & Payment
I haven't received my invoice for this quarter yet.,Dues & Payment
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Air conditioning in common area 683 is not cooling properly.,Maintenance Request
The parking lot lights in section 951 are not working.,Maintenance Request
IS THERE A COMMUNITY NEWSLETTER I CAN SUBSCRIBE TO?,General Inquiry
I need to reserve the community room for a meeting next Tuesday.,Amenity Booking
The street light outside unit 211 has been out for a week.,Maintenance Request
i need to update my payment method on file.,Dues & Payment
Can I book the rooftop lounge for a small gathering?,Amenity Booking
there is unauthorized construction happening at unit 181.,Rule Violation Report
Air conditioning in common area 189 is not cooling properly.,Maintenance Request
There is unauthorized construction happening at unit 593.,Rule Violation Report
Fence along property line 233 has fallen over.,Maintenance Request
I want to appeal the architectural review board decision.,Complaint / Dispute
Loud music from unit 421 after quiet hours.,Rule Violation Report
I would like to set up automatic payment for my monthly dues.,Dues & Payment
I haven't received my invoice for this quarter yet.,Dues & Payment
Can I get a receipt for my last payment of unit 541?,Dues & Payment
Where can I find information about the upcoming board meeting?,General Inquiry
The elevator in block 296 is making a loud noise.,Maintenance Request
My neighbor at unit 290 is parking in a handicap spot without a permit.,Rule Violation Report
When is the deadline for annual assessment payment?,Dues & Payment
Loud music from unit 105 after quiet hours.,Rule Violation Report
I need to update my payment method on file.,Dues & Payment
i was unfairly charged a late fee for my payment.,Complaint / Dispute
Broken gate at entrance 258 needs urgent repair.,Maintenance Request
Air conditioning in common area 638 is not cooling properly.,Maintenance Request
Commercial vehicle parked in residential spot near unit 945.,Rule Violation Report
What are the office hours for the HOA management team?,General Inquiry
I would like to set up automatic payment for my monthly dues.,Dues & Payment
What recycling guidelines does our community follow?,General Inquiry
Pool pump at amenity area 863 stopped working.,Maintenance Request
Can I book the rooftop lounge for a small gathering?,Amenity Booking
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Is the tennis court near area 163 available this Sunday morning?,Amenity Booking
I need to update my payment method on file.,Dues & Payment
Broken gate at entrance 753 needs urgent repair.,Maintenance Request
There is unauthorized construction happening at unit 543.,Rule Violation Report
WHAT ARE THE OFFICE HOURS FOR THE HOA MANAGEMENT TEAM?,General Inquiry
i disagree with the decision made about unit 323 modification.,Complaint / Dispute
i would like to set up automatic payment for my monthly dues.,Dues & Payment
Is the tennis court near area 720 available this Sunday morning?,Amenity Booking
Please confirm my account balance for unit 891.,Dues & Payment
when is the deadline for annual assessment payment?,Dues & Payment
What recycling guidelines does our community follow?,General Inquiry
When is the deadline for annual assessment payment?,Dues & Payment
there is a water leak in the common hallway near building 354.,Maintenance Request
IS THE TENNIS COURT NEAR AREA 381 AVAILABLE THIS SUNDAY MORNING?,Amenity Booking
how do i book a guest parking spot for the weekend?,Amenity Booking
BROKEN GATE AT ENTRANCE 702 NEEDS URGENT REPAIR.,Maintenance Request
Air conditioning in common area 246 is not cooling properly.,Maintenance Request
There is unauthorized construction happening at unit 466.,Rule Violation Report
I need to update my payment method on file.,Dues & Payment
There is unauthorized construction happening at unit 315.,Rule Violation Report
Is the tennis court near area 526 available this Sunday morning?,Amenity Booking
Commercial vehicle parked in residential spot near unit 713.,Rule Violation Report
fence along property line 765 has fallen over.,Maintenance Request
I would like to set up automatic payment for my monthly dues.,Dues & Payment
I'd like to reserve the clubhouse for a birthday party on Saturday.,Amenity Booking
Is there a payment plan available for overdue balances?,Dues & Payment
please reserve the gym for a group fitness session on friday.,Amenity Booking
There is a water leak in the common hallway near building 467.,Maintenance Request
I was unfairly charged a late fee for my payment.,Complaint / Dispute
I believe I was double charged for unit 544 this month.,Dues & Payment
Pool pump at amenity area 739 stopped working.,Maintenance Request
Is there a community newsletter I can subscribe to?,General Inquiry
Air conditioning in common area 572 is not cooling properly.,Maintenance Request
Resident at unit 981 has installed an unauthorized satellite dish.,Rule Violation Report
Can I get a receipt for my last payment of unit 857?,Dues & Payment
There is a water leak in the common hallway near building 543.,Maintenance Request
My neighbor's tree is dropping leaves into my patio at unit 110.,Complaint / Dispute
There is unauthorized construction happening at unit 615.,Rule Violation Report
There is unauthorized construction happening at unit 972.,Rule Violation Report
broken gate at entrance 835 needs urgent repair.,Maintenance Request
I need to update my payment method on file.,Dues & Payment
Air conditioning in common area 922 is not cooling properly.,Maintenance Request
How do I book a guest parking spot for the weekend?,Amenity Booking
I want to appeal the architectural review board decision.,Complaint / Dispute
The elevator in block 786 is making a loud noise.,Maintenance Request
There is a water leak in the common hallway near building 580.,Maintenance Request
Can I book the rooftop lounge for a small gathering?,Amenity Booking
Please reserve the gym for a group fitness session on Friday.,Amenity Booking
I would like to set up automatic payment for my monthly dues.,Dues & Payment
Is there a community newsletter I can subscribe to?,General Inquiry
I feel the recent rule change was not communicated properly.,Complaint / Dispute
